"valence","tempo","duration_ms"
0.448,80.258,274799
0.375,160.091,117165
0.367,78.866,325728
0.493,74.769,254098
0.378,101.723,141696
0.68,135.807,162268
0.101,100.007,230754
0.309,120.01,150585
0.447,82.31,118076
0.245,133.957,292549
0.528,74.99,169348
0.83,124.062,293638
0.453,144.072,238339
0.3,90.285,216371
0.194,172.626,361560
0.809,107.522,80600
0.0695,86.007,215693
0.59,124.258,213000
0.179,84.174,406613
0.194,137.54,195427
0.372,89.597,185307
0.179,125.99,328333
0.307,81.515,193200
0.0583,92.938,232200
0.342,79.75,146200
0.122,165.194,300533
0.472,139.325,172827
0.0381,116.562,110640
0.338,67.532,187693
0.528,84.003,195029
0.735,79.358,313717
0.185,72.404,105307
0.457,84.873,130983
0.146,90.208,125530
0.0955,107.357,122277
0.13,73.855,85020
0.799,92.109,140851
0.368,98.726,40418
0.481,97.714,111977
0.545,91.923,213170
0.56,124.28,132771
0.255,90.099,199037
0.542,142.759,265627
0.0381,80.599,305733
0.478,94.027,278107
0.357,90.821,397200
0.166,106.198,192667
0.452,73.54,260560
0.345,86.801,247467
0.129,65.414,473600
0.504,79.665,324307
0.174,132.735,868400
0.967,111.106,56442
0.889,133.079,111098
0.7,70.418,220629
0.468,121.99,164612
0.284,168.214,163812
0.419,84.125,109701
0.583,159.965,129371
0.769,145.962,152741
0.663,78.589,276978
0.0616,164.266,145232
0.719,115.166,149004
0.147,126.032,238750
0.563,128.005,146420
0.835,72.812,134652
0.447,79.735,109674
0.127,130.033,254067
0.183,79.295,153938
0.518,149.416,128862
0.0611,89.984,165456
0.25,129.855,129835
0.299,99.991,126662
0.233,79.895,129437
0.0346,90.002,171455
0.259,149.983,108196
0.0609,120.002,183755
0.212,94.008,202015
