"loudness","mode","speechiness"
-19.593,1,0.0465
-19.227,1,0.0598
-11.425,0,0.138
-12.804,0,0.134
-13.59,1,0.207
-13.934,1,0.0782
-14.075,0,0.241
-13.916,1,0.13
-12.777,1,0.0832
-13.547,1,0.0604
-12.615,0,0.327
-13.222,1,0.201
-12.17,1,0.058
-12.394,1,0.0949
-12.33,1,0.161
-11.862,1,0.0789
-11.272,1,0.38
-11.53,1,0.0906
-12.831,1,0.071
-13.974,1,0.104
-12.061,1,0.0404
-11.296,1,0.0822
-14.302,1,0.0616
-19.74,1,0.0285
-14.655,1,0.0531
-13.72,1,0.0659
-15.137,1,0.036
-14.486,1,0.0405
-13.909,1,0.104
-14.024,1,0.0537
-8.005,1,0.034
-11.856,1,0.0335
-10.49,1,0.0317
-15.962,0,0.0398
-8.662,1,0.0309
-10.791,1,0.0343
-9.319,1,0.0292
-13.518,1,0.0309
-11.796,1,0.0352
-9.106,1,0.0299
-12.274,1,0.0372
-9.889,1,0.0311
-15.819,1,0.0337
-13.953,1,0.038
-12.519,1,0.032
-13.713,0,0.0346
-9.913,1,0.0278
-14.053,1,0.0447
-15.792,1,0.037
-20.485,1,0.0396
-18.775,1,0.0377
-16.581,1,0.0426
-16.99,0,0.0353
-20.61,1,0.0464
-17.887,1,0.031
-19.513,1,0.0363
-15.538,1,0.0397
-15.929,1,0.0326
-18.774,1,0.032
-19.63,1,0.0403
-17.607,1,0.0549
-26.358,1,0.0389
-14.199,0,0.0494
-21.411,1,0.0411
-20.409,0,0.0584
-19.104,1,0.0414
-13.942,1,0.0416
-19.863,1,0.0371
-21.665,1,0.0703
-18.129,1,0.0569
-14.357,1,0.0428
-17.081,1,0.0284
-10.935,1,0.037
-16.772,1,0.0335
-14.933,1,0.0332
-15.842,1,0.032
-13.763,1,0.0284
-15.305,1,0.0289
-16.082,0,0.0323
-17.999,0,0.0443
-13.591,1,0.0355
-11.999,1,0.0704
-7.536,1,0.053
-8.086,1,0.0349
-7.127,0,0.0377
-7.39,1,0.0416
-9.024,1,0.0408
-11.302,1,0.0612
-12.927,1,0.0322
-11.346,1,0.039
-11.283,0,0.0302
-11.196,1,0.0367
-11.688,1,0.044
-9.761,1,0.0293
-11.603,1,0.0441
-13.286,0,0.0467
-3.629,1,0.221
-4.468,0,0.434
-4.219,1,0.29
-3.977,1,0.149
-4.938,0,0.257
-4.371,0,0.358
-4.337,1,0.244
-5.366,0,0.0928
-4.082,0,0.144
-4.524,1,0.279
-5.072,1,0.135
-10.189,0,0.0318
-8.937,1,0.0364
-7.866,1,0.0314
-11.887,1,0.0308
-7.051,0,0.0331
-12.405,1,0.0331
-9.587,1,0.032
-7.916,1,0.0337
-9.363,1,0.0439
-12.4,0,0.0351
-13.285,0,0.0356
-14.255,1,0.0346
-4.748,0,0.0374
-4.623,0,0.0391
-4.443,1,0.0396
